Sample Name,Dilution Factor,Analyte,Mass,Concentration,Units
20-046622-0023,50,Se,78,0.108445,ppm
20-046622-0023,50,Mo,95,376.001894,ppb
20-046622-0023,50,Pb,208,-0.000454,ppm
20-046622-0024,50,Mn,55,2.138171,ppb
20-046622-0024,50,Fe,56,1.807417,ppm
20-046622-0024,50,Co,59,0.991407,ppb
20-046622-0024,50,Cu,65,0.827625,ppm
20-046622-0024,50,Zn,66,0.987043,ppm
20-046622-0024,50,Se,78,0.095951,ppm
20-046622-0024,50,Mo,95,426.660312,ppb
20-046622-0024,50,Pb,208,-0.000460,ppm
20-046622-0025,50,Mn,55,1.874270,ppb
20-046622-0025,50,Fe,56,1.641326,ppm
20-046622-0025,50,Co,59,0.308023,ppb
20-046622-0025,50,Cu,65,0.658998,ppm
20-046622-0025,50,Zn,66,1.410853,ppm
20-046622-0025,50,Se,78,0.058442,ppm
20-046622-0025,50,Mo,95,9.678026,ppb
20-046622-0025,50,Pb,208,-0.000485,ppm
20-046622-0026,50,Mn,55,1.729782,ppb
20-046622-0026,50,Fe,56,1.603220,ppm
20-046622-0026,50,Co,59,0.326403,ppb
20-046622-0026,50,Cu,65,0.562695,ppm
20-046622-0026,50,Zn,66,1.097788,ppm
20-046622-0026,50,Se,78,0.060319,ppm
20-046622-0026,50,Mo,95,6.870638,ppb
20-046622-0026,50,Pb,208,-0.000240,ppm
20-046622-0027,50,Mn,55,1.525513,ppb
20-046622-0027,50,Fe,56,1.646067,ppm
20-046622-0027,50,Co,59,0.391136,ppb
20-046622-0027,50,Cu,65,0.662118,ppm
20-046622-0027,50,Zn,66,0.912493,ppm
20-046622-0027,50,Se,78,0.069811,ppm
20-046622-0027,50,Mo,95,6.607015,ppb
20-046622-0027,50,Pb,208,-0.000481,ppm
20-046622-0028,50,Mn,55,1.481716,ppb
20-046622-0028,50,Fe,56,1.277075,ppm
20-046622-0028,50,Co,59,0.623406,ppb
20-046622-0028,50,Cu,65,0.668662,ppm
20-046622-0028,50,Zn,66,0.519024,ppm
20-046622-0028,50,Se,78,0.074247,ppm
20-046622-0028,50,Mo,95,7.909669,ppb
20-046622-0028,50,Pb,208,-0.000511,ppm
20-046622-0029,50,Mn,55,1.904184,ppb
20-046622-0029,50,Fe,56,1.621626,ppm
20-046622-0029,50,Co,59,0.393612,ppb
20-046622-0029,50,Cu,65,0.905083,ppm
20-046622-0029,50,Zn,66,0.911708,ppm
20-046622-0029,50,Se,78,0.082379,ppm
20-046622-0029,50,Mo,95,86.945594,ppb
20-046622-0029,50,Pb,208,-0.000477,ppm
20-046622-0030,50,Mn,55,1.759261,ppb
20-046622-0030,50,Fe,56,3.832882,ppm
20-046622-0030,50,Co,59,0.297793,ppb
20-046622-0030,50,Cu,65,0.854490,ppm
20-046622-0030,50,Zn,66,1.105743,ppm
20-046622-0030,50,Se,78,0.089443,ppm
20-046622-0030,50,Mo,95,291.263551,ppb
20-046622-0030,50,Pb,208,-0.000327,ppm
20-046622-0031,50,Mn,55,1.959422,ppb
20-046622-0031,50,Fe,56,1.728465,ppm
20-046622-0031,50,Co,59,0.347407,ppb
20-046622-0031,50,Cu,65,0.907974,ppm
20-046622-0031,50,Zn,66,1.007746,ppm
20-046622-0031,50,Se,78,0.095229,ppm
20-046622-0031,50,Mo,95,106.360262,ppb
20-046622-0031,50,Pb,208,-0.000464,ppm
20-046622-0032,50,Mn,55,1.817356,ppb
20-046622-0032,50,Fe,56,1.592388,ppm
20-046622-0032,50,Co,59,0.379534,ppb
20-046622-0032,50,Cu,65,0.742208,ppm
20-046622-0032,50,Zn,66,1.146789,ppm
20-046622-0032,50,Se,78,0.095890,ppm
20-046622-0032,50,Mo,95,247.917202,ppb
20-046622-0032,50,Pb,208,-0.000470,ppm
20-046622-0033,50,Mn,55,1.223880,ppb
20-046622-0033,50,Fe,56,2.181691,ppm
20-046622-0033,50,Co,59,0.489734,ppb
20-046622-0033,50,Cu,65,0.751747,ppm
20-046622-0033,50,Zn,66,0.663186,ppm
20-046622-0033,50,Se,78,0.066808,ppm
20-046622-0033,50,Mo,95,490.950852,ppb
20-046622-0033,50,Pb,208,-0.000481,ppm
20-046622-0034,50,Mn,55,1.276512,ppb
20-046622-0034,50,Fe,56,1.804753,ppm
20-046622-0034,50,Co,59,0.485682,ppb
20-046622-0034,50,Cu,65,0.889964,ppm
20-046622-0034,50,Zn,66,0.856726,ppm
20-046622-0034,50,Se,78,0.074032,ppm
20-046622-0034,50,Mo,95,11.528492,ppb
20-046622-0034,50,Pb,208,-0.000465,ppm
20-046622-0035,50,Mn,55,1.408345,ppb
20-046622-0035,50,Fe,56,1.819932,ppm
20-046622-0035,50,Co,59,0.434232,ppb
20-046622-0035,50,Cu,65,0.786344,ppm
20-046622-0035,50,Zn,66,0.898199,ppm
20-046622-0035,50,Se,78,0.063353,ppm
20-046622-0035,50,Mo,95,9.399937,ppb
20-046622-0035,50,Pb,208,-0.000473,ppm
20-046622-0036,50,Mn,55,1.277068,ppb
20-046622-0036,50,Fe,56,1.340526,ppm
20-046622-0036,50,Co,59,0.382737,ppb
20-046622-0036,50,Cu,65,0.831618,ppm
20-046622-0036,50,Zn,66,0.519256,ppm
20-046622-0036,50,Se,78,0.069674,ppm
20-046622-0036,50,Mo,95,6.995673,ppb
20-046622-0036,50,Pb,208,-0.000498,ppm
20-046622-0037,50,Mn,55,5.724976,ppb
20-046622-0037,50,Fe,56,1.747070,ppm
20-046622-0037,50,Co,59,0.359498,ppb
20-046622-0037,50,Cu,65,0.999429,ppm
20-046622-0037,50,Zn,66,0.632611,ppm
20-046622-0037,50,Se,78,0.088219,ppm
20-046622-0037,50,Mo,95,109.522036,ppb
20-046622-0037,50,Pb,208,-0.000448,ppm
20-046622-0038,50,Mn,55,1.831793,ppb
20-046622-0038,50,Fe,56,1.690828,ppm
20-046622-0038,50,Co,59,0.347237,ppb
20-046622-0038,50,Cu,65,0.885670,ppm
20-046622-0038,50,Zn,66,0.947375,ppm
20-046622-0038,50,Se,78,0.089902,ppm
20-046622-0038,50,Mo,95,574.872172,ppb
20-046622-0038,50,Pb,208,-0.000297,ppm
20-046622-0039,50,Mn,55,1.562585,ppb
20-046622-0039,50,Fe,56,1.698781,ppm
20-046622-0039,50,Co,59,0.273921,ppb
20-046622-0039,50,Cu,65,0.928241,ppm
20-046622-0039,50,Zn,66,0.833815,ppm
20-046622-0039,50,Se,78,0.083272,ppm
20-046622-0039,50,Mo,95,112.649062,ppb
20-046622-0039,50,Pb,208,-0.000508,ppm
20-046622-0040,50,Mn,55,1.703204,ppb
20-046622-0040,50,Fe,56,1.797015,ppm
20-046622-0040,50,Co,59,0.328741,ppb
20-046622-0040,50,Cu,65,0.990937,ppm
20-046622-0040,50,Zn,66,0.900582,ppm
20-046622-0040,50,Se,78,0.101809,ppm
20-046622-0040,50,Mo,95,215.063533,ppb
20-046622-0040,50,Pb,208,-0.000464,ppm
20-046622-0041,50,Mn,55,2.063090,ppb
20-046622-0041,50,Fe,56,1.502194,ppm
20-046622-0041,50,Co,59,0.339258,ppb
20-046622-0041,50,Cu,65,0.819886,ppm
20-046622-0041,50,Zn,66,0.677383,ppm
20-046622-0041,50,Se,78,0.062159,ppm
20-046622-0041,50,Mo,95,128.323485,ppb
20-046622-0041,50,Pb,208,-0.000497,ppm
20-046622-0042,50,Mn,55,2.027423,ppb
20-046622-0042,50,Fe,56,2.512837,ppm
20-046622-0042,50,Co,59,0.258566,ppb
20-046622-0042,50,Cu,65,0.891349,ppm
20-046622-0042,50,Zn,66,0.929696,ppm
20-046622-0042,50,Se,78,0.067493,ppm
20-046622-0042,50,Mo,95,7.981883,ppb
20-046622-0042,50,Pb,208,-0.000478,ppm
rinse,50,Mn,55,0.249412,ppb
rinse,50,Fe,56,0.020385,ppm
rinse,50,Co,59,0.028888,ppb
rinse,50,Cu,65,-0.001262,ppm
rinse,50,Zn,66,0.006463,ppm
rinse,50,Se,78,-0.000008,ppm
rinse,50,Mo,95,0.092186,ppb
rinse,50,Pb,208,-0.000556,ppm
rinse,50,Mn,55,0.240989,ppb
rinse,50,Fe,56,0.012830,ppm
rinse,50,Co,59,0.047945,ppb
rinse,50,Cu,65,-0.001103,ppm
rinse,50,Zn,66,0.006818,ppm
rinse,50,Se,78,0.000471,ppm
rinse,50,Mo,95,0.113435,ppb
rinse,50,Pb,208,-0.000548,ppm
rinse,50,Mn,55,0.266533,ppb
rinse,50,Fe,56,0.007068,ppm
rinse,50,Co,59,0.060089,ppb
rinse,50,Cu,65,-0.001172,ppm
rinse,50,Zn,66,0.006480,ppm
rinse,50,Se,78,-0.000373,ppm
rinse,50,Mo,95,0.065992,ppb
rinse,50,Pb,208,-0.000530,ppm
5/50 ppb,1,Mn,55,4.810448,ppb
5/50 ppb,1,Fe,56,0.049233,ppm
5/50 ppb,1,Co,59,4.659983,ppb
5/50 ppb,1,Cu,65,0.049948,ppm
5/50 ppb,1,Zn,66,0.049869,ppm
5/50 ppb,1,Se,78,0.004787,ppm
5/50 ppb,1,Mo,95,4.868477,ppb
5/50 ppb,1,Pb,208,0.004551,ppm
magic rinse,50,Mn,55,0.899823,ppb
magic rinse,50,Fe,56,0.079958,ppm
magic rinse,50,Co,59,0.175573,ppb
magic rinse,50,Cu,65,-0.000299,ppm
magic rinse,50,Zn,66,0.011459,ppm
magic rinse,50,Se,78,0.000203,ppm
magic rinse,50,Mo,95,1.295877,ppb
magic rinse,50,Pb,208,-0.000435,ppm
rinse,50,Mn,55,0.264605,ppb
rinse,50,Fe,56,-0.004285,ppm
rinse,50,Co,59,0.054770,ppb
rinse,50,Cu,65,-0.001032,ppm
rinse,50,Zn,66,0.006829,ppm
rinse,50,Se,78,-0.000479,ppm
rinse,50,Mo,95,0.127154,ppb
rinse,50,Pb,208,-0.000536,ppm
rinse,50,Mn,55,0.284986,ppb
rinse,50,Fe,56,-0.005887,ppm
rinse,50,Co,59,0.062308,ppb
rinse,50,Cu,65,-0.001101,ppm
rinse,50,Zn,66,0.006861,ppm
rinse,50,Se,78,-0.000247,ppm
rinse,50,Mo,95,0.085751,ppb
rinse,50,Pb,208,-0.000553,ppm
Serum Blank,50,Mn,55,0.350248,ppb
Serum Blank,50,Fe,56,-0.006296,ppm
Serum Blank,50,Co,59,0.035823,ppb
Serum Blank,50,Cu,65,-0.001150,ppm
Serum Blank,50,Zn,66,0.012427,ppm
Serum Blank,50,Se,78,0.000017,ppm
Serum Blank,50,Mo,95,0.076551,ppb
Serum Blank,50,Pb,208,-0.000540,ppm
QM-S Q1807,50,Mn,55,2.827300,ppb
QM-S Q1807,50,Fe,56,0.803195,ppm
QM-S Q1807,50,Co,59,3.904485,ppb
QM-S Q1807,50,Cu,65,1.162166,ppm
QM-S Q1807,50,Zn,66,1.050661,ppm
QM-S Q1807,50,Se,78,0.133194,ppm
QM-S Q1807,50,Mo,95,1.514693,ppb
QM-S Q1807,50,Pb,208,0.135109,ppm
20-046622-0043,50,Mn,55,2.097535,ppb
20-046622-0043,50,Fe,56,2.790407,ppm
20-046622-0043,50,Co,59,0.578216,ppb
20-046622-0043,50,Cu,65,0.740047,ppm
20-046622-0043,50,Zn,66,0.898249,ppm
20-046622-0043,50,Se,78,0.063615,ppm
20-046622-0043,50,Mo,95,8.819991,ppb
20-046622-0043,50,Pb,208,-0.000489,ppm
20-046622-0043 DUP,50,Mn,55,2.010567,ppb
20-046622-0043 DUP,50,Fe,56,2.837899,ppm
20-046622-0043 DUP,50,Co,59,0.573011,ppb
20-046622-0043 DUP,50,Cu,65,0.719831,ppm
20-046622-0043 DUP,50,Zn,66,0.860411,ppm
20-046622-0043 DUP,50,Se,78,0.056749,ppm
20-046622-0043 DUP,50,Mo,95,7.933613,ppb
20-046622-0043 DUP,50,Pb,208,-0.000506,ppm
20-046622-0044,50,Mn,55,1.861214,ppb
20-046622-0044,50,Fe,56,1.376718,ppm
20-046622-0044,50,Co,59,0.461339,ppb
20-046622-0044,50,Cu,65,0.787016,ppm
20-046622-0044,50,Zn,66,0.680974,ppm
20-046622-0044,50,Se,78,0.064938,ppm
20-046622-0044,50,Mo,95,7.989380,ppb
20-046622-0044,50,Pb,208,-0.000502,ppm
20-046622-0045,50,Mn,55,2.365615,ppb
20-046622-0045,50,Fe,56,1.848298,ppm
20-046622-0045,50,Co,59,0.282414,ppb
20-046622-0045,50,Cu,65,0.932695,ppm
20-046622-0045,50,Zn,66,0.810548,ppm
20-046622-0045,50,Se,78,0.079902,ppm
20-046622-0045,50,Mo,95,79.729812,ppb
20-046622-0045,50,Pb,208,-0.000513,ppm
20-046622-0046,50,Mn,55,2.263212,ppb
20-046622-0046,50,Fe,56,3.673400,ppm
20-046622-0046,50,Co,59,0.292265,ppb
20-046622-0046,50,Cu,65,1.072375,ppm
20-046622-0046,50,Zn,66,0.887462,ppm
20-046622-0046,50,Se,78,0.089620,ppm
20-046622-0046,50,Mo,95,247.111576,ppb
20-046622-0046,50,Pb,208,-0.000081,ppm
20-046622-0047,50,Mn,55,2.310550,ppb
20-046622-0047,50,Fe,56,1.565019,ppm
20-046622-0047,50,Co,59,0.283279,ppb
20-046622-0047,50,Cu,65,0.963859,ppm
20-046622-0047,50,Zn,66,0.885050,ppm
20-046622-0047,50,Se,78,0.094430,ppm
20-046622-0047,50,Mo,95,449.485870,ppb
